"The one who did so many miracles, books couldn't contain them all",
"God incarnate",
"The living word of God",
"The word of God",
"The lover of my soul",
"The desirer of my soul",
"The rewarder of those who seek him",
"The one who watches out for me",
"The one who waits for me",
"My best friend",
"A friend of sinners",
"The one whose Spirit guides us into all thruth",
"The one who sent His Spirit to live inside of us",
"The one who sent His Spirit to us",
"The one who completed the work of the Father God",
"The all sufficient one",
"The high priest unto the order of Melkisidek",
"The son of David",
"The bright and morning star",
"The cleft in the rock",
"The paraclete",
"The light of the world",
"The one who is the only way to the Father God",
"The history maker",
"The deliverer of all mankind",
"The great redeemer",
"The one that leaves the 99 to find and restore the lost sheep",
"The one that leaves the 99 to find me",
"The great intercessor, praying for me, petitioning Father God for me on my behalf",
"The advocate for me before the Father God",
"The prophet",
"The holy one",
"The anointed one",
"The almighty",
"The living word",
"The first ambassador of the kingdom of heaven",
"The good shepherd",
"One who freely gave me his Spirit in the form of Holy Spirit",
"Who was tested and tempted and tried in every way imaginable",
"My Lord and my God!", "John 20:28"


"He knows everything","Matthew 16:21" 
"He knows everything","Luke 11:17"
"He knows everything","John 4:29"
"He is everywhere","Matthew 18:20"
"He is everywhere","Matthew 28:20"
"He is everywhere","Acts 18:10"
"He has all power","Matthew 8:26–27"
"He has all power","Matthew 28:18"
"He has all power","John 11:38–44"
"He has all power","Luke 7:14–15"
"He has all power","Revelation 1:8"
"He depends on nothing outside of himself for life","John 1:4"
"He depends on nothing outside of himself for life","John 14:6"
"He depends on nothing outside of himself for life","John 8:58"
"He rules over everything","Matthew 28:18"
"He rules over everything","Revelation 1:5"
"He rules over everything","Revelation 19:16"
"He never began to exist and never will cease to exist","John 1:1"
"He never began to exist and never will cease to exist","John 8:58"
"He is our Creator","Colossians 1:16"
"The Father affirmed that Jesus is the Son, his Son, and that Jesus is well pleasing to him","Luke 3:22"

He was born as a baby from a human mother","Luke 2:7"
"He was born as a baby from a human mother","Galatians 4:4"
"He experienced weariness","John 4:6"
"He became weary","John 4:6"
"He experienced thirst", "John 19:28"
"He became thirsty", "John 19:28"
"He experienced hunger","Matthew 4:2"
"He was hungry",Matthew 4:2"
"He experienced the full range of human emotions such as marvel and sorrow","Matthew 8:10 & John 11:35"
"He marvelled","Matthew 8:10"
"He experienced sorrow","John 11:35"
"He lived on earth just as we do","John 1:14"
